Entry	Gene names	Organism	Gene ontology IDs
Q8TWW2	MK0919	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0000271; GO:0006810; GO:0016021
I6UNB9	PFC_01425	Pyrococcus furiosus COM1	GO:0008654; GO:0016021; GO:0016780
Q9V002	PAB1709	Pyrococcus abyssi (strain GE5 / Orsay)	
A2BMI7	kptA Hbut_1373	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0006388; GO:0016773
A2BKR5	Hbut_0722	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0004527
Q8U0F2	PF1638	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0006725; GO:0008198; GO:0016491
A2BMJ1	Hbut_1377	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
O57789	PH0074	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	
Q9UZP7	PAB0726	Pyrococcus abyssi (strain GE5 / Orsay)	
Q9V0W1	PAB1919	Pyrococcus abyssi (strain GE5 / Orsay)	
Q9V216	PYRAB02580 PAB2180	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0005524
A2BLW8	Hbut_1142	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
A2BJM7	Hbut_0316	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0006355
A2BKI7	Hbut_0641	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0003676; GO:0005524
Q9V1X4	PAB0204	Pyrococcus abyssi (strain GE5 / Orsay)	
G0EDG6	Pyrfu_0782	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0016021
G0ED83	Pyrfu_1908	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0016021
Q9V0M2	eif5a aif5A PYRAB07670 PAB1854	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0003743; GO:0003746; GO:0005737; GO:0006452; GO:0043022; GO:0045901; GO:0045905
Q9YED5	APE_0640	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0003824; GO:0009116
Q9UY02	PAB1228	Pyrococcus abyssi (strain GE5 / Orsay)	
Q9YCW8	hom APE_1144.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0004412; GO:0006520
G0EC75	Pyrfu_1588	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0005524; GO:0016887
Q8TXY4	mer MK0524	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0005737; GO:0006730; GO:0016705; GO:0018537; GO:0019386
Q9YD89	dapA APE_1023.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0008152; GO:0008840
Q9YDU7	APE_0821	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
Q9UYK9	PAB0993	Pyrococcus abyssi (strain GE5 / Orsay)	
Q8TWY7	MK0894	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003676; GO:0008168
A2BMB1	Hbut_1292	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q8TW30	MK1207	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
I6UPL1	PFC_04035	Pyrococcus furiosus COM1	GO:0016021
Q9UZ02	PAB0896	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0008080
Q9UZ74	PAB3319	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016787
Q9YDZ7	srp19 APE_0772	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0006614; GO:0008312; GO:0048500
G8ZGY9	PAB0531.1n	Pyrococcus abyssi (strain GE5 / Orsay)	
