Entry	Gene names	Organism	Gene ontology IDs
O67328	hisA aq_1303	Aquifex aeolicus (strain VF5)	GO:0000105; GO:0000162; GO:0003949; GO:0005737
O67363	aq_1348	Aquifex aeolicus (strain VF5)	
W0DD35	rplC THERU_07335	Thermocrinis ruber	GO:0003735; GO:0005840; GO:0006412; GO:0019843
W0DEA7	flgG THERU_00430	Thermocrinis ruber	GO:0009426; GO:0071973
E3GXD7	eif6 Mfer_0166	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0003743; GO:0042256; GO:0043022
O67170	rhdA1 aq_1076	Aquifex aeolicus (strain VF5)	GO:0016740
O29883	AF_0364	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0004176; GO:0004252; GO:0005524; GO:0005886; GO:0006355; GO:0008134; GO:0016021; GO:0030163
O28213	rpl31e AF_2066	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0003735; GO:0005840; GO:0006412
Q9WZY9	TM_0887	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0003908; GO:0005737; GO:0006307
O29418	AF_0840	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0008152; GO:0016874
W0DFC1	THERU_01740	Thermocrinis ruber	
M1IXK3	SacN8_10120	Sulfolobus acidocaldarius N8	GO:0004497; GO:0005506; GO:0016705; GO:0020037
E3GXM5	mch Mfer_0254	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0005737; GO:0006730; GO:0018759; GO:0019386
O29872	AF_0375	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	
O66891	fliG aq_653	Aquifex aeolicus (strain VF5)	GO:0003774; GO:0005886; GO:0006935; GO:0009425; GO:0071973
